(24, 25, 42),7
(29, 44, 47),7
(21, 30, 52),7
(14, 33, 36),7
(31, 34, 37),6
(2, 18, 30),6
(29, 38, 50),6
(15, 16, 57),6
(2, 34, 50),6
(17, 38, 53),6
(3, 9, 32),6
(4, 30, 59),6
(6, 10, 33),6
(5, 31, 33),6
(2, 30, 52),6
(18, 21, 38),6
(9, 23, 30),6
(2, 15, 57),6
(1, 51, 59),6
(13, 27, 58),5
(16, 37, 57),5
(2, 30, 35),5
(4, 9, 17),5
(10, 41, 42),5
(8, 9, 41),5
(2, 4, 16),5
(8, 41, 53),5
(13, 26, 42),5
(29, 32, 38),5
(6, 28, 35),5
(6, 11, 40),5
(6, 30, 37),5
(12, 24, 44),5
(5, 16, 24),5
(2, 35, 43),5
(4, 27, 52),5
(8, 23, 53),5
(22, 32, 38),5
(7, 12, 24),5
(32, 40, 42),5
(37, 46, 49),5
(9, 37, 41),5
(23, 27, 53),5
(18, 57, 58),5
(15, 28, 31),5
(10, 27, 52),5
(23, 24, 47),5
(10, 23, 47),5
(13, 39, 45),5
(2, 14, 23),5
(4, 13, 17),5
(9, 41, 49),5
(13, 41, 42),5
(7, 8, 53),5
(7, 44, 55),5
(32, 49, 60),5
(8, 39, 43),5
(13, 24, 44),5
(7, 8, 39),5
(17, 23, 53),5
(18, 24, 56),5
(24, 34, 60),5
(9, 24, 36),5
(5, 24, 34),5
(43, 46, 54),5
(2, 35, 50),5
(18, 47, 54),5
(6, 13, 24),5
(23, 44, 51),5
(16, 20, 32),5
(1, 45, 58),5
(23, 30, 55),5
(2, 48, 55),5
(2, 18, 45),5
(27, 36, 59),5
(19, 29, 41),5
(4, 17, 38),5
(17, 27, 40),5
(30, 46, 51),5
(7, 8, 18),5
(23, 54, 60),5
(12, 31, 50),5
(2, 30, 45),5
(2, 5, 59),5
(12, 30, 49),5
(9, 17, 32),5
(3, 23, 47),5
(21, 40, 52),5
(17, 28, 53),5
(5, 23, 51),5
(15, 43, 57),5
(1, 41, 58),5
(7, 8, 43),5
(38, 45, 56),5
(6, 28, 43),5
(13, 33, 56),5
(5, 16, 27),5
(23, 30, 46),5
(40, 42, 54),5
(20, 34, 60),5
(22, 25, 41),5
(2, 14, 50),5
(14, 33, 49),5
(28, 29, 48),5
(2, 50, 54),5
(5, 16, 20),5
(5, 24, 35),5
(24, 51, 56),5
(23, 37, 51),5
(48, 52, 58),5
(8, 53, 56),5
(12, 32, 40),5
(11, 13, 39),5
(1, 3, 18),5
(19, 30, 52),5
(25, 28, 45),5
(1, 4, 5),5
(4, 32, 33),5
(6, 19, 34),5
(4, 19, 28),5
(40, 50, 55),5
(7, 32, 51),5
(14, 25, 51),5
(12, 32, 48),5
(27, 40, 46),5
(10, 32, 49),5
(4, 20, 47),5
(12, 16, 20),5
(20, 58, 60),5
(21, 26, 29),5
(2, 28, 50),5
(31, 57, 58),5
(27, 36, 42),4
(21, 29, 54),4
(5, 24, 60),4
(1, 4, 28),4
(41, 51, 58),4
(29, 50, 51),4
(4, 27, 36),4
(18, 34, 56),4
(21, 54, 57),4
(8, 23, 51),4
(28, 43, 50),4
(17, 32, 55),4
(1, 28, 41),4
(1, 2, 19),4
(23, 41, 51),4
(18, 36, 53),4
(2, 11, 30),4
(3, 5, 11),4
(12, 37, 56),4
(14, 23, 51),4
(1, 13, 33),4
(5, 23, 49),4
(11, 14, 33),4
(28, 41, 57),4
(23, 41, 58),4
(6, 28, 49),4
(2, 14, 28),4
(23, 31, 33),4
(10, 45, 56),4
(29, 34, 51),4
(6, 7, 51),4
(1, 39, 55),4
(4, 13, 14),4
(10, 47, 51),4
(31, 45, 56),4
(7, 19, 40),4
(1, 4, 21),4
(22, 28, 29),4
(35, 36, 59),4
(17, 42, 47),4
(7, 13, 33),4
(18, 55, 58),4
(18, 29, 31),4
(5, 33, 49),4
(12, 16, 45),4
(6, 15, 59),4
(28, 36, 37),4
(11, 30, 33),4
(33, 36, 41),4
(3, 5, 33),4
(25, 30, 51),4
(14, 28, 56),4
(10, 28, 33),4
(9, 25, 41),4
(13, 29, 47),4
(6, 19, 50),4
(4, 5, 33),4
(23, 30, 47),4
(46, 51, 58),4
(1, 5, 47),4
(10, 26, 49),4
(6, 17, 50),4
(17, 36, 53),4
(27, 37, 42),4
(7, 30, 44),4
(11, 18, 30),4
(27, 38, 50),4
(4, 17, 27),4
(16, 24, 60),4
(28, 34, 54),4
(54, 55, 60),4
(11, 38, 54),4
(5, 21, 56),4
(3, 18, 34),4
(20, 44, 47),4
