3,162,1
41,177,1
6,165,1
11,161,1
34,169,1
44,178,1
52,181,1
20,163,1
19,157,1
18,169,1
46,166,1
27,176,1
25,150,1
39,149,1
45,158,1
13,181,1
26,139,1
5,202,1
15,153,1
17,185,1
16,175,1
7,171,1
10,182,1
36,176,1
35,164,1
56,171,1
9,147,1
30,175,1
43,179,1
54,187,1
48,155,1
23,185,1
31,172,1
49,183,1
57,158,1
1,170,1
58,168,1
47,175,1
42,187,1
37,172,1
2,174,1
59,165,1
53,189,1
60,160,1
32,176,1
29,180,1
12,172,1
22,138,1
38,170,1
24,189,1
51,197,1
55,148,1
14,154,1
28,180,1
40,161,1
21,149,1
33,191,1
8,173,1
4,193,1
50,178,1
